,EPISODE_ID,STATE_FIPS,EPISODE_NARRATIVE
0,121603,48,Severe thunderstorms occurred along a dryline and cold front.
1,121701,48,"A deep upper level trough moved out of the Inter Mountain West and into the Southern Plains on January 21st. This trough allowed for the return of much warmer temperatures and a return of Gulf of Mexico moisture, replacing a cold continental arctic air mass the Southern Plains had been under the influence of the week before. By afternoon, dewpoints were in the lower 60s as far north as the Middle Red River Valley of Northeast Texas, Southeast Oklahoma and Southwest Arkansas. This yielded CAPE values around 500 J/KG but very strong Deep Layer Shear was present along with strong low level directional shear. Storms ignited during the late afternoon and early evening hours of January 21st across Northern Texas and Southern Oklahoma along and just ahead of a dryline. Later in the evening, low level directional shear continued to increase and therefore, storms took on the form of supercells. Some of these storms produced large hail and damaging wind gusts. One long track supercell resulted in a tornado which did damage across portions of Bowie County Texas before crossing the Red River and continuing into Little River County Arkansas. The Pacific cold front in association with the upper level trough eventually caught up with the dryline moving into Northeast Texas and Southeast Oklahoma during the overnight hours of January 21st and into the predawn hours of January 22nd, but this broken line of thunderstorms was not responsible for any additional wind damage, hail, or tornadoes across Northeast Texas."
2,121706,5,"A deep upper level trough moved out of the Inter Mountain West and into the Southern Plains on January 21st. This trough allowed for the return of much warmer temperatures and a return of Gulf of Mexico moisture, replacing a cold continental arctic air mass the Southern Plains had been under the influence of the week before. By afternoon, dewpoints were in the lower 60s as far north as the Middle Red River Valley of Northeast Texas, Southeast Oklahoma and Southwest Arkansas. This yielded CAPE values around 500 J/KG but very strong Deep Layer Shear was present along with strong low level directional shear. Storms ignited during the late afternoon and early evening hours of January 21st across Northern Texas and Southern Oklahoma along and just ahead of a dryline. Later in the evening, low level directional shear continued to increase and therefore, storms took on the form of supercells. Some of these storms produced large hail and damaging wind gusts. One long track supercell resulted in a tornado which did damage across portions of Bowie County Texas before crossing the Red River and continuing into Little River County Arkansas. The Pacific cold front in association with the upper level trough eventually caught up with the dryline moving into Northeast Texas and Southeast Oklahoma during the overnight hours of January 21st and into the predawn hours of January 22nd, but this broken line of thunderstorms was not responsible for any additional wind damage, hail, or tornadoes across Southwest Arkansas."
3,121716,29,Isolated severe thunderstorms produced a few reports of wind damage and a brief EF-1 tornado.
4,121726,5,"During the early morning hours on Sunday 1/21, a line of severe thunderstorms in the form of a quasi linear convective system (QLCS) moved through the state of Arkansas. Damaging wind was recorded from western Arkansas to Pine Bluff, with a single EF1 tornado in the LZK warning area. Additionally, there was a single report of hail in far western Arkansas."
5,121885,5,Strong to severe thunderstorms developed during the afternoon hours of the 21st over eastern Oklahoma as a cold front moved into the area from the west. These storms moved into northwestern Arkansas during the evening. Two tornadoes and damaging wind gusts occurred across Sebastian and Franklin Counties with the stronger storms.
6,121962,28,"Showers and thunderstorms developed as a cold front pushed through the region. Some of these storms produced hail, damaging wind gusts, flash flooding, and one tornado."
7,122042,6,"An upper-level storm system moved east across northwest California, resulting in high elevation snow, coastal hail, and a tornado."
8,122095,6,High pressure brought a prolonged period of unseasonably warm temperatures to begin February as temperatures were 10 degrees or more above seasonal normals across much of the are for the first 10 days of the month. A low pressure system dropping into the Great Basin on the 10th brought a period of increased winds to the Kern County Mountains and Deserts during the late morning and early afternoon as strong mid level winds mixed down to the surface where there were numerous reports of gusts between 45 and 50 mph. Another trough pushed through the Great Basin on the evening of the 11th through the morning of the 12th which pushed a cold front through Central California and brought another period of increased winds to the area and there were several reports of wind gusts between 50 and 55 mp in the Kern County Mountains and Deserts. this system also brought some light precipitation to the area with amounts generally less than a tenth of an inch of liquid precipitation in post-frontal showers on the 12th. A weak tornado briefly touched down in rural farmland near Sanger during the late morning of the 12th.
9,122115,28,Heavy rain developed across portions of the region in association with a cold front. Some of this heavy rain produced flash flooding. A weak tornado also touched down in Neshoba County.
10,122345,39,"Strong to severe thunderstorms, with very heavy rainfall, developed ahead of a cold front."
11,122346,1,A series of mini-supercells with little or no lightning developed during the late afternoon hours across portions of northwest and north central Alabama south of the Tennessee River.  One of these produced a brief tornado in Cullman County.
12,122457,28,Showers and storms developed in the afternoon ahead of a cold front. Some of these storms produced hail and damaging winds during the late afternoon and early evening across west central Mississippi.
13,122458,22,Showers and storms developed in the afternoon ahead of a cold front. Some of these storms produced hail and a tornado during the late afternoon and early evening across northeast Louisiana.
14,122497,1,"For the first time since January 2017, an event including both flooding and tornadoes impacted our area starting on February 11, 2018. Two tornadoes touched down across inland portions of the Florida Panhandle before sunrise, followed by persistent heavy rainfall that resulted in flooding at several river sites.  One of the tornadoes clipped far southern Houston county.  As an upper level trough dug southward across the western and central U.S., southerly flow drew moisture from the Gulf of Mexico northward into the tri-state area over the weekend. Upper air soundings measured this increased moisture with precipitable water values around 1.5 inches on Sunday, well above the 90th percentile and a record for the 12z February 11 sounding, although the record for that date and time are below the average max for this time of year. With a cold front and upper level trough west of the area, the persistent deep layer moisture helped to create a favorable set-up for high rainfall amounts.  This wet pattern resulted in copious amounts of rainfall across the tri-state region. The highest rainfall amounts were across the Florida Panhandle where 8 to 10 inches fell with localized areas receiving more than 10 inches across coastal Walton and Bay counties. The highest observed rainfall total was in Walton County, where a 48-hour rainfall total of 11.45 inches was recorded. Across southeast Alabama and portions of southwest Georgia, widespread 6 to 8 inches of rain fell. While one Flash Flood Warning was issued, the majority of the impacts from this event were from moderate rainfall rates over a prolonged period of time as convection trained across the tri-state area. These high rainfall totals resulted in numerous road closures across the Florida Panhandle from water covered roads and washed out roadways. In addition, a few roads were closed across southeast Alabama."
15,122498,12,"For the first time since January 2017, an event including both flooding and tornadoes impacted our area starting on February 11, 2018. Two tornadoes touched down across inland portions of the Florida Panhandle before sunrise, followed by persistent heavy rainfall that resulted in flooding at several river sites.  As an upper level trough dug southward across the western and central U.S., southerly flow drew moisture from the Gulf of Mexico northward into the tri-state area over the weekend. Upper air soundings measured this increased moisture with precipitable water values around 1.5 inches on Sunday, well above the 90th percentile and a record for the 12z February 11 sounding, although the record for that date and time are below the average max for this time of year. With a cold front and upper level trough west of the area, the persistent deep layer moisture helped to create a favorable set-up for high rainfall amounts.  This wet pattern resulted in copious amounts of rainfall across the tri-state region. The highest rainfall amounts were across the Florida Panhandle where 8 to 10 inches fell with localized areas receiving more than 10 inches across coastal Walton and Bay counties. The highest observed rainfall total was in Walton County, where a 48-hour rainfall total of 11.45 inches was recorded. Across southeast Alabama and portions of southwest Georgia, widespread 6 to 8 inches of rain fell. While one Flash Flood Warning was issued, the majority of the impacts from this event were from moderate rainfall rates over a prolonged period of time as convection trained across the tri-state area. These high rainfall totals resulted in numerous road closures across the Florida Panhandle from water covered roads and washed out roadways. In addition, a few roads were closed across southeast Alabama."
16,122610,21,"A stalled frontal boundary interacting with highly anomalous moisture from the Gulf of Mexico interacted with multiple weather systems that brought widespread heavy rainfall and severe thunderstorms to central Kentucky February 24 through the early morning hours February 25. A Flash Flood Emergency was issued for Jefferson County, KY including Louisville metro. There were over 50 water rescues alone in Jefferson County that evening. Widespread flash flooding occurred with most streams and creeks reaching record levels. ||In addition, across south central Kentucky, 7 tornadoes developed along a warm front during the afternoon and evening hours. The strongest tornado was an EF-2 that tracked over 11 miles in Logan County and tragically killed a woman in her home. As a squall line moved through during the late evening and early morning hours, damaging winds occurred across central Kentucky."
17,122622,51,Scattered severe thunderstorms in advance of low pressure and a cold front produced damaging winds and one tornado across portions of central and south central Virginia.
18,122701,48,"A upper level low developed across the far NE Texas Panhandle with an associated dryline back to the south and southwest. A jet streak working into west Texas during the afternoon helped bring strong shear throughout the column into the Panhandles. In particular, noticeable surface based directional shear right along the dry line, west winds to the west and east winds east of the dryline helped storms develop rotation along the converging boundary. Storms that developed had broad rotation along a small line of individual couplets. Some deeper cores did produce some severe hail across the northeastern Panhandles. A landspout was confirmed by spotters in far southeast Ochiltree County along with an  6 mile weak EF-1 tornado track through parts of Hemphill and Lipscomb counties."
19,122704,47,"Thunderstorms developed ahead of an upper level system and surface cold front during the evening hours. Several of these storms produced large hail and wind damage. Funnel clouds were reported as a discrete supercell thunderstorm developed over Southeast Tennessee and moved into Southwest North Carolina. As this supercell moved into Monroe County, Tennessee, a weak tornado developed downing several trees and producing minor structural damage."
20,122706,37,"Thunderstorms developed ahead of an upper level system and surface cold front during the evening hours. Several of these storms produced large hail and wind damage. Funnel clouds were reported as a discrete supercell thunderstorm developed over Southeast Tennessee and moved into Southwest North Carolina. As this supercell moved into Monroe County, Tennessee, a weak tornado developed downing several trees and producing minor structural damage."
21,122773,1,"An isolated supercell produced hail during the early afternoon hours across far northwest and north central Alabama. By mid afternoon, a cluster of supercells developed in northern Mississippi and tracked east-southeast through much of north Alabama through the early evening hours. Two main supercell clusters produced multiple tornadoes and very large hail. Tornadoes ranged in strength from EF-0 to EF-2.  The largest hail fell in Cullman County, with widespread and severe damage reported as a result.  The largest hail stone reported to the National Weather Service was 5.25 inches in diameter weighing 8.9 ounces."
22,122774,47,"Most of the tornadic supercell activity asssociated with this event occurred just south of the Tennessee/Alabama state line. However, one of the supercells produced a tornado in Franklin County during the early evening hours."
23,122785,21,"An outbreak of severe thunderstorms and tornadoes occurred across western Kentucky. Most of the severe weather was along and south of a Paducah to Madisonville line. North of that line, serious flash flooding resulted in a fatality. A surface low pressure center tracked rapidly north-northeast from Arkansas to the upper Mississippi Valley, dragging a warm front north across western Kentucky. Instability was adequate for tornadoes and severe storms in the presence of very strong wind shear. A very moist air mass resulted in heavy rainfall, which produced localized flash flooding due to the water-logged ground. Locally 5 to 6 inches of rain had fallen over the previous week. Rainfall rates in these thunderstorms were locally one-half to one inch per hour."
24,122793,29,"Localized flash flooding and a couple of tornadoes occurred across southeast Missouri. A narrow swath of torrential rainfall occurred from Cape Girardeau southwest across Poplar Bluff, where water rescues were conducted. A surface low pressure center tracked rapidly north-northeast from Arkansas to the upper Mississippi Valley, dragging a warm front north across southeast Missouri. Instability was adequate for a couple tornadoes in the presence of very strong wind shear. A very moist air mass resulted in heavy rainfall, which produced localized flash flooding due to the water-logged ground. Most rivers experienced minor flooding."
25,122796,22,A cold front moved across Louisiana and into a humid and unstable air mass after midnight. This produced scattered thunderstorms with a few producing damage.
26,122807,28,"A few severe thunderstorms developed on the 22nd of January, with one of them producing an EF-1 tornado in Covington and Jones County."
27,122822,48,A cold front pushed through Southeast Texas and into a humid and unstable air mass. Showers and storms developed with one tornado occurring.
28,122968,48,"As a cold front stalled out across the South Plains during the afternoon hours of the 27th, scattered rain showers and thunderstorms developed south of the front. Underneath one of these developing thunderstorms near the frontal boundary, a landspout tornado formed in northern Terry County. This landspout was documented on social media near the intersection of Farm to Market Road 211 and US Highway 385."
29,123015,13,"A line of thunderstorms ahead of a strong cold front swept through north and central Georgia during the morning into the early afternoon. Despite only marginal instability, strong low and mid-level shear resulted in isolated reports of thunderstorm wind damage and a few brief tornadoes."
30,123057,6,"A warm plume of moist tropical air brought a very active period of weather to the area between the evening of March 20 and the evening of March 22. This resulted in widespread heavy rainfall across the area on March 21 and 22 which produced flooding at many locations with rock slides and debris flows closing several roads across the area. The most impacted areas being around Mariposa as a result of the Detwiler Fire burn scar and Springville as a result of the Pier Fire burn scar. In addition, thunderstorms developed during the afternoon of March 22 producing flash flooding at many locations as well as funnel clouds. A Flash Flood Emergency was issued for most of western Mariposa County where several buildings were flooded and some areas were evacuated. A small tornado briefly touched down near Dinuba in Tulare County. In addition, several feet of new snow fell above 9000 feet. Below the snow line, much of the Southern Sierra Nevada measured between 4 and 8 inches of rainfall while most of the San Joaquin Valley picked up between 1 and 3 inches of rainfall."
31,123082,28,"Showers and thunderstorms moved across the ArkLaMiss region during the evening of March 10th into the early morning hours of March 11th. These came ahead of a cold front and intensifying low pressure system. Large hail occurred with these storms, especially in the ArkLaMiss Delta region, but wind damage also occurred into central Mississippi."
32,123140,47,"An intense storm system brought severe thunderstorms to northwest Middle Tennessee during the late afternoon and evening hours on February 24. One supercell thunderstorm developed along a warm front that moved northward across the area during the afternoon, spawning one tornado along the Kentucky/Tennessee border in Robertson County that then moved northeast into Kentucky. Later in the evening, a Quasi-Linear Convective System (QLCS) moved into the area from the west, spawning three more tornadoes across Montgomery and Robertson Counties which damaged dozens of homes and businesses and caused millions of dollars in damage. The QLCS also caused wind damage in several other counties."
33,123182,47,A strong cold front interacted with a very unstable airmass across the Midsouth during the afternoon and evening hours of February 24h. All facets of severe weather occurred.
34,123183,5,A strong cold front interacted with a very unstable airmass across the Midsouth during the afternoon and evening hours of February 24h. All facets of severe weather occurred.
35,123210,21,"A strong low pressure system tracked through the Ohio Valley on April 3. Ahead of it, very warm and moist air surged into the region with highs around 80 degrees. As a cold front swept through, lines of strong to severe thunderstorms brought damaging wind gusts and two short-lived tornadoes to central Kentucky. There were several pockets of intense straight line wind damage."
36,123251,48,"A cold front moved into a warm, very moist airmass over South Central Texas and generated thunderstorms. Some of these storms produced large hail and heavy rain. The heavy rain led to localized flash flooding. Rainfall totals in worst hit counties ranged from 4.09 to 5.72 inches."
37,123279,22,"A strong cold front moved through southern Mississippi, southeast Louisiana and the adjacent coastal waters during the late night hours of the 6th and morning hours of the 7th. Severe thunderstorms developed in advance of the cold front with at least one tornado reported."
38,123309,29,Isolated strong to severe storms moved through the region. One tornado and isolated wind damage occurred.
39,123388,6,"A brief landspout tornado formed north of Bishop, CA.  There were multiple independent reports with video."
40,123391,22,A line of thunderstorms moved across the region producing an isolated tornado at Pitkin in Vernon Parish.
41,123403,29,A strong cold front and associated spring storm system produce severe thunderstorms with very large hail and several tornadoes across the Missouri Ozarks.
42,123407,12,"A line of strong to severe thunderstorms associated with a cold front moved across the area during the morning hours of April 15th.  A strong low level jet enhanced low level shear across the area, and a brief tornado occurred near Tyndall AFB in addition to numerous reports of trees down across northwest Florida."
43,123408,13,"A line of strong to severe thunderstorms associated with a cold front moved across the area during the morning hours of April 15th.  A strong low level jet enhanced low level shear across the area, and a brief tornado occurred in Decatur county, GA in addition to numerous reports of trees down across southern Georgia."
44,123419,29,A strong cold front interacted with a very unstable airmass across the Midsouth during the afternoon and evening hours of February 24h. All facets of severe weather occurred.
45,123441,37,"A strong cold front with a negatively-tilted upper level trough approached the North Carolina Piedmont.  Plenty of wind shear with modest instability made conditions ripe for large hail, damaging winds, and tornadoes.  A supercell ahead of the cold front became strong enough to produce two tornadoes.  The first tornado initially formed in Guilford County but crossed into Rockingham County and caused noteworthy damage, while a second tornado touched down in Caswell County and continued into Virginia."
46,123442,51,"A strong cold front with a negatively-tilted upper level trough approached southwest Virginia.  Plenty of wind shear with modest instability made conditions ripe for large hail, damaging winds, and tornadoes.  The thunderstorms ahead of the cold front became strong enough to produce six tornadoes across portions of southwest Virginia.  While the first tornado originally formed in Caswell County of North Carolina and crossed into Virginia, the other five all touched down in Virginia.  These tornadoes caused significant damage within the cities of Danville and Lynchburg and within the town of Elon in Amherst County.  It is the first time ever since storm data records began in 1950 that a tornado struck inside the city limits of Lynchburg."
47,123494,5,"Numerous supercell thunderstorms moved across Arkansas from the evening of April 13th into the early morning hours of April 14th. These storms produced multiple weak tornadoes and damaging wind gusts across Arkansas. The tornadoes and damaging wind gusts produced primarily light structural damage, and one of the hardest hit areas was a nursing home near Mountain Home that was heavily damaged by 85 mph straight line winds."
48,123495,45,"A strong upper level disturbance combined with strong atmospheric shear, and instability enhanced by diurnal heating, produced a line of thunderstorms, some of which were severe and included embedded tornadoes."
49,123499,13,"An upper-level short wave sweeping southeast through the southern Appalachians spawned isolated severe thunderstorms across the region. Cold air aloft, associated with the short wave, produced large hail in portions of north and central Georgia. Enhanced shear along a warm front helped to produced an isolated tornado in northeast Georgia."
50,123500,13,"Widespread severe thunderstorms broke out across central and north Georgia during the evening hours of March 19th, through the early morning hours of the 20th as a warm front lifted north across the region ahead of a strong storm system developing across the lower Mississippi Valley."
51,123518,5,"A line of thunderstorms moved through Arkansas on February 24th, bringing damaging winds, flash flooding, and a small tornado to Arkansas."
52,123528,28,"An unstable airmass and advancing cold front produced severe thunderstorms capable of large hail, damaging winds and a tornado across portions of north Mississippi during the morning and late afternoon hours of March 19th."
53,123573,39,Severe thunderstorms and tornadoes developed ahead of a strong cold front. Between one to three inches of rain fell across the region.
54,123615,22,"A cold front shifted south and became stationary across portions of Deep East Texas and the southern and eastern sections of Northcentral Louisiana during the afternoon hours of March 28th. A warm and unstable air mass was present near and south of the front, as a large upper level trough shifted east across Texas during the evening and overnight hours, taking on a negative tilt as it entered the region late. Showers and thunderstorms developed throughout the day on March 28th across much of East Texas and North Louisiana ahead of this trough, with surface low pressure developing along the front over Northcentral Louisiana. The combined instability and increased wind shear near and south of the front resulted in severe thunderstorm development, producing numerous reports of damaging winds and and a couple of isolated tornadoes during the afternoon. Additional thunderstorms intensified during the evening and overnight hours along and south of the front ahead of the approaching upper trough, with periods of heavy rainfall training over the same areas, resulting in flash flooding over portions of Northcentral Louisiana. These storms diminished during the early morning hours of March 29th with the passage of the trough."
55,123662,1,"Widespread showers and thunderstorms ahead of a cold front lifted northward across the tri-state area on Sunday, April 22, 2018. While overall damage reports with the thunderstorms were limited, strong low level shear caused rotation in numerous storms. Despite the strong low level shear, instability was limited and the resultant storm mode was mini-supercells.  A few reports of trees and even a downed street sign were reported in Houston county, AL. Despite the low-topped convection, the core of one storm in Lanier county, GA was also strong enough to produce nickel sized hail. While rotation was noted in multiple storms and a few tornado warnings were issued, only one storm produced a tornado that moved through Dale county, AL."
56,123664,1,"A brief, weak tornado touched down near Chatom and caused minor damage."
57,123683,1,"A line of thunderstorms moved across Central Alabama during the early morning hours of Wednesday, February 7, 2018. Supercells embedded within the line were responsible for producing large hail, damaging winds, and several tornadoes. Severe weather was not anticipated as most model guidance indicated insufficient instability and wind shear for the development of supercells, tornadoes and other severe convective hazards. Even so, a marginal risk was highlighted for the western and southern portions of Central Alabama. The storms exhibited organization and frequent lightning, indicators that instability was likely higher than expected. The radar signatures were marginal at best and therefore, only a few Severe Thunderstorm Warnings were issued during the event."
58,123684,39,"A warm front lifted across the middle Ohio River Valley on the morning of the 3rd. This brought a round of showers and thunderstorms. Showers lingered across central and eastern Ohio through much of the day with the warm front in the vicinity. A strong cold front then pushed through in the evening with strong to severe thunderstorms. Periods of heavy rain, first with the warm front, and then again with the cold front led to flooding."
59,123730,17,"An outbreak of severe thunderstorms occurred during the afternoon and evening. Several tornadoes were spawned along a line of fast-moving thunderstorms. Four of the tornadoes were associated with a persistent circulation that moved east across Williamson and Saline Counties, passing just north of Marion and Harrisburg. The circulation exited southern Illinois along the Wabash River southeast of Carmi. A fifth tornado was associated with a circulation that tracked east across Massac and Pope Counties in the southern tip of the state.  The severe storm outbreak occurred ahead of a cold front that accelerated east-southeast toward the mid Mississippi Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of deepening convection ahead of the front. Steep mid-level lapse rates and strong effective wind shear promoted some large hail within the strongest storms."
60,123737,21,"Clusters of strong to severe thunderstorms moved eastward out of southern Illinois and southeast Missouri. The storms produced four tornadoes over the far western counties of Kentucky before weakening as they moved east across the Kentucky Lake region. The most significant tornado, which occurred over Livingston County, was rated EF-2. The severe storms occurred ahead of a cold front that accelerated east-southeast toward the lower Ohio Valley. Cooling aloft ahead of a shortwave trough over the Plains, combined with diurnal heating and moist southerly winds, resulted in a corridor of  convection ahead of the front. The storms weakened somewhat as they moved east across the Kentucky Lake region into slightly drier and more stable air."
61,123749,42,"Waves of heavy rain produced flooding on February 15th through the 16th. A line of thunderstorms developed along a lifting warm front, providing not only for enhancement in the rainfall totals, which ranged from 1-3 inches, but also attributed to shear that supported the development of a short-lived tornado over Uniontown, in Fayette county Pennsylvania. This was the first tornado in February since 1950 for the Pittsburgh Weather Service area of responsibility."
62,123764,12,"A strong squall line moved into the west coast of Florida ahead of a fast moving cold front. Some of the stronger storms produced severe wind gusts, and one waterspout came onshore as a brief lived tornado."
63,123813,22,"A warm front lifted north across much of East Texas and Southwest Arkansas by the afternoon hours on April 6th, with very warm, humid, and unstable air having spread in place across much of the Ark-La-Tex during the afternoon and evening hours. In addition to the surface based instability in place, very cold temperatures in the mid and upper level of the atmosphere resulted in very steep lapse rates further enhancing instability, with strong wind shear present in advance of a strong cold front which entered the Southern Plains during the afternoon ahead of a strong upper level trough of low pressure. Scattered to numerous showers and thunderstorms developed along and just in advance of the cold front, many of which became severe producing large hail and damaging winds. These storms steadily marched east across North Louisiana during the mid afternoon through much of the evening hours before diminishing late with the passage of the cold front and upper trough."
